< # , Separater , 9 >
< include , include , - >
< < , Operator , 16 >
< iostream , iostream , - >
< > , Operator , 18 >
< # , Separater , 9 >
< include , include , - >
< < , Operator , 16 >
< cstdlib , cstdlib , - >
< > , Operator , 18 >
< # , Separater , 9 >
< include , include , - >
< < , Operator , 16 >
< ctime , ctime , - >
< > , Operator , 18 >
< //随便找了一个数据结构的代码 , Comment , - >
< using , using , - >
< namespace , namespace , - >
< std , std , - >
< ; , Separater , 1 >
< int , int , - >
< main , main , - >
< ( , Separater , 3 >
< ) , Separater , 4 >
< { , Separater , 7 >
< srand , id , identitierTable >
< ( , Separater , 3 >
< ( , Separater , 3 >
< unsigned , unsigned , - >
< ) , Separater , 4 >
< time , id , identitierTable >
< ( , Separater , 3 >
< NULL , id , identitierTable >
< ) , Separater , 4 >
< ) , Separater , 4 >
< ; , Separater , 1 >
< int , int , - >
< a , id , identitierTable >
< [ , Separater , 5 >
< 7 , number , integerTable >
< ] , Separater , 6 >
< = , Operator , 20 >
< { , Separater , 7 >
< } , Separater , 8 >
< ; , Separater , 1 >
< int , int , - >
< i , id , identitierTable >
< = , Operator , 20 >
< 0 , number , integerTable >
< ; , Separater , 1 >
< while , while , - >
< ( , Separater , 3 >
< i , id , identitierTable >
< < , Operator , 16 >
< 7 , number , integerTable >
< ) , Separater , 4 >
< { , Separater , 7 >
< int , int , - >
< t , id , identitierTable >
< = , Operator , 20 >
< rand , id , identitierTable >
< ( , Separater , 3 >
< ) , Separater , 4 >
< unexpected % at line 13 ! , Error , - >
< 8 , number , integerTable >
< ; , Separater , 1 >
< bool , bool , - >
< f , id , identitierTable >
< = , Operator , 20 >
< 0 , number , integerTable >
< ; , Separater , 1 >
< for , for , - >
< ( , Separater , 3 >
< int , int , - >
< j , id , identitierTable >
< = , Operator , 20 >
< 0 , number , integerTable >
< ; , Separater , 1 >
< j , id , identitierTable >
< <= , Operator , 17 >
< i , id , identitierTable >
< ; , Separater , 1 >
< j , id , identitierTable >
< ++ , Operator , 12 >
< ) , Separater , 4 >
< { , Separater , 7 >
< if , if , - >
< ( , Separater , 3 >
< a , id , identitierTable >
< [ , Separater , 5 >
< j , id , identitierTable >
< ] , Separater , 6 >
< == , Operator , 21 >
< t , id , identitierTable >
< ) , Separater , 4 >
< f , id , identitierTable >
< = , Operator , 20 >
< 1 , number , integerTable >
< ; , Separater , 1 >
< } , Separater , 8 >
< if , if , - >
< ( , Separater , 3 >
< f , id , identitierTable >
< == , Operator , 21 >
< 0 , number , integerTable >
< ) , Separater , 4 >
< { , Separater , 7 >
< a , id , identitierTable >
< [ , Separater , 5 >
< i , id , identitierTable >
< ] , Separater , 6 >
< = , Operator , 20 >
< t , id , identitierTable >
< ; , Separater , 1 >
< i , id , identitierTable >
< ++ , Operator , 12 >
< ; , Separater , 1 >
< cout , id , identitierTable >
< << , Operator , 23 >
< t , id , identitierTable >
< << , Operator , 23 >
< endl , id , identitierTable >
< ; , Separater , 1 >
< } , Separater , 8 >
< } , Separater , 8 >
< system , id , identitierTable >
< ( , Separater , 3 >
< "pause" , String , stringTable >
< ) , Separater , 4 >
< ; , Separater , 1 >
< return , return , - >
< 0 , number , integerTable >
< ; , Separater , 1 >
< } , Separater , 8 >
